loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
956,956,12.7.2023, 011:46:06.00,3.17,37.438629,24.945816,-13.19,41.5,61.64,342.37,347.94,5.57,111.46,90,150,2000,0
960,960,12.7.2023, 011:46:07.00,2.78,37.438637,24.945812,-9.53,50.03,60.46,349.21,348.01,-1.2,110.66,84,104,1668,0
964,964,12.7.2023, 011:46:08.00,3.04,37.438644,24.94581,-3.44,47.59,60.46,355.87,348.0,-7.87,109.85,78,138,2000,0
967,967,12.7.2023, 011:46:09.00,2.96,37.438652,24.94581,20.94,41.5,63.99,26.77,347.96,-38.81,109.11,48,33,1380,0
970,970,12.7.2023, 011:46:10.00,2.04,37.438656,24.945812,11.19,53.69,58.11,11.77,347.76,-24.01,108.8,60,46,1388,0
974,974,12.7.2023, 011:46:11.00,2.59,37.438663,24.945816,-14.41,48.81,58.11,343.56,347.52,3.96,107.75,90,77,1392,0
978,978,12.7.2023, 011:46:12.00,3.43,37.438671,24.945816,-19.28,46.38,59.29,337.42,347.43,10.01,107.01,90,89,1496,0
982,982,12.7.2023, 011:46:13.00,3.41,37.438679,24.945812,-21.72,42.72,60.46,333.05,347.46,14.41,106.2,90,90,1500,0
984,984,12.7.2023, 011:46:14.00,3.76,37.438686,24.945808,-21.72,45.16,59.29,334.31,347.61,13.29,105.37,90,72,1356,0
987,987,12.7.2023, 011:46:15.00,3.65,37.438694,24.945805,-30.25,40.28,58.11,323.09,347.63,24.54,104.19,102,108,1552,0
991,991,12.7.2023, 011:46:16.00,3.78,37.438702,24.945799,-26.59,39.06,58.11,325.75,347.79,22.04,103.35,96,96,1500,0
995,995,12.7.2023, 011:46:17.00,3.63,37.438709,24.945791,-29.03,41.5,59.29,325.03,348.13,23.11,102.45,102,150,2000,0
999,999,12.7.2023, 011:46:18.00,2.83,37.438713,24.945786,-13.19,39.06,65.16,341.35,348.36,7.01,101.99,90,30,1000,0
1003,1003,12.7.2023, 011:46:19.00,2.11,37.438721,24.945782,-25.38,43.94,56.93,329.99,348.4,18.4,101.18,96,36,1000,0
1005,1005,12.7.2023, 011:46:20.00,2.26,37.438725,24.945778,-38.78,24.44,61.64,302.22,348.58,46.37,100.35,120,119,1492,0
1009,1009,12.7.2023, 011:46:21.00,3.0,37.438728,24.94577,-35.13,29.31,59.29,309.85,348.86,39.01,99.86,114,119,1548,0
1013,1013,12.7.2023, 011:46:22.00,3.24,37.438732,24.945761,-26.59,41.5,58.11,327.35,349.35,22.0,99.31,102,126,1700,0
1017,1017,12.7.2023, 011:46:23.00,2.83,37.438736,24.945755,-30.25,37.84,56.93,321.36,349.56,28.2,98.86,108,126,1652,0
1021,1021,12.7.2023, 011:46:24.00,3.0,37.43874,24.945745,-22.94,34.19,65.16,326.14,350.0,23.86,98.32,102,42,1000,0
1025,1025,12.7.2023, 011:46:25.00,2.41,37.438744,24.945742,-33.91,35.41,56.93,316.24,350.16,33.92,97.9,114,150,2000,0
1029,1029,12.7.2023, 011:46:26.00,2.43,37.438747,24.945736,-30.25,31.75,62.81,316.39,350.4,34.01,97.44,114,141,1728,0
1033,1033,12.7.2023, 011:46:27.00,2.43,37.438751,24.94573,-25.38,47.59,56.93,331.94,350.59,18.65,97.0,96,150,2000,0
1037,1037,12.7.2023, 011:46:28.00,2.22,37.438755,24.945726,-22.94,39.06,60.46,329.58,350.8,21.22,96.17,102,42,996,0
1041,1041,12.7.2023, 011:46:29.00,2.0,37.438759,24.945724,-26.59,46.38,56.93,330.17,350.87,20.7,95.77,102,102,1500,0
1044,1044,12.7.2023, 011:46:30.00,2.72,37.438763,24.945719,-32.69,34.19,60.46,316.28,351.12,34.83,95.33,114,150,2000,0
1046,1046,12.7.2023, 011:46:31.00,2.59,37.438766,24.945713,-8.31,41.5,62.81,348.67,351.41,2.74,94.86,90,30,1000,0
1050,1050,12.7.2023, 011:46:32.00,1.89,37.438774,24.945711,-11.97,43.94,62.81,344.76,351.41,6.65,94.09,90,150,2000,0
1054,1054,12.7.2023, 011:46:33.00,1.93,37.438778,24.945709,8.75,48.81,63.99,10.16,351.49,-18.68,93.69,72,132,2000,0
1058,1058,12.7.2023, 011:46:34.00,3.13,37.438786,24.945707,18.5,45.16,59.29,22.28,351.53,-30.75,92.92,60,74,1620,0
1062,1062,12.7.2023, 011:46:35.00,3.07,37.438793,24.945713,12.41,52.47,61.64,13.3,351.14,-22.16,91.86,66,77,1592,0
1066,1066,12.7.2023, 011:46:36.00,3.09,37.438801,24.945715,-5.88,47.59,62.81,352.96,350.85,-2.12,91.15,84,84,1500,0
1070,1070,12.7.2023, 011:46:37.00,3.39,37.438808,24.945717,-13.19,50.03,59.29,345.23,350.73,5.5,90.43,90,90,1500,0
1074,1074,12.7.2023, 011:46:38.00,3.74,37.438816,24.945715,-10.75,48.81,60.46,347.58,350.71,3.13,89.66,90,90,1500,0
1077,1077,12.7.2023, 011:46:39.00,3.65,37.438828,24.945713,-11.97,48.81,61.64,346.22,350.74,4.52,88.11,90,90,1504,0
1081,1081,12.7.2023, 011:46:40.00,3.59,37.438835,24.945711,-14.41,47.59,60.46,343.16,350.76,7.6,87.33,90,89,1492,0
1085,1085,12.7.2023, 011:46:41.00,3.94,37.438843,24.945707,-19.28,46.38,58.11,337.42,350.9,13.47,86.54,96,95,1496,0
1087,1087,12.7.2023, 011:46:42.00,3.7,37.438854,24.945705,-21.72,43.94,59.29,333.7,350.82,17.12,85.01,96,115,1664,0
1091,1091,12.7.2023, 011:46:43.00,3.39,37.438862,24.945702,-16.84,46.38,59.29,340.04,350.94,10.9,84.21,90,90,1500,0
1095,1095,12.7.2023, 011:46:44.00,3.85,37.438869,24.945696,-25.38,39.06,62.81,326.99,351.26,24.27,83.37,102,114,1600,0
1099,1099,12.7.2023, 011:46:45.00,3.17,37.438877,24.945692,-15.63,43.94,60.46,340.42,351.41,10.99,82.57,90,90,1500,0
1103,1103,12.7.2023, 011:46:46.00,3.82,37.438885,24.945688,-18.06,46.38,59.29,338.72,351.54,12.82,81.78,96,95,1496,0
1107,1107,12.7.2023, 011:46:47.00,3.54,37.438892,24.945684,-14.41,46.38,59.29,342.74,351.65,8.91,80.61,90,90,1504,0
1111,1111,12.7.2023, 011:46:48.00,4.13,37.438904,24.945683,-14.41,46.38,61.64,342.74,351.6,8.86,79.46,90,139,1916,0
1114,1114,12.7.2023, 011:46:49.00,3.04,37.438911,24.945679,1.44,45.16,62.81,1.82,351.86,-9.96,78.64,78,81,1532,0
1118,1118,12.7.2023, 011:46:50.00,3.06,37.438919,24.945679,5.09,45.16,60.46,6.44,351.73,-14.71,77.51,78,137,1992,0
1122,1122,12.7.2023, 011:46:51.00,2.98,37.438927,24.945684,24.59,39.06,65.16,32.19,351.24,-40.95,76.85,54,54,1500,0
1126,1126,12.7.2023, 011:46:52.00,2.89,37.438931,24.94569,19.72,48.81,60.46,22.0,350.82,-31.18,76.55,60,72,1604,0
